@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,4,5,6,9,10,12,13,14,16,17,18,22,23,24,26,33,36,37,40,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk3 numeric
@attribute ft3 numeric
@attribute ft4 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtsk7 numeric
@attribute dtfk9 numeric
@attribute dtsk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute ft14 numeric
@attribute dtsk14 numeric
@attribute gender {1,2}

@data
94,156,78,0,47,62,31,78,94,0,609,15,78,78,47,63,16,110,93,78,0,31,2
94,32,78,94,157,62,79,78,93,125,266,141,62,79,79,78,78,63,15,94,31,79,2
94,16,78,141,0,78,125,141,94,15,47,94,78,78,78,110,141,78,47,78,94,94,2
110,78,93,79,157,94,140,63,78,0,125,141,62,79,79,78,78,63,156,94,31,79,2
94,109,63,93,94,63,63,62,47,93,110,156,63,109,78,94,78,188,78,78,78,63,2
94,47,78,78,63,78,62,94,78,110,109,63,78,78,63,109,156,62,78,62,62,47,2
63,62,47,109,94,47,63,47,78,110,62,156,63,109,78,94,78,188,47,94,78,63,2
78,47,125,46,0,180,63,16,78,0,141,78,94,62,31,109,46,93,94,47,31,63,2
94,15,125,110,78,187,62,47,31,110,165,94,62,63,15,125,1390,63,94,94,0,63,2
47,47,78,15,0,172,125,94,94,984,62,78,94,62,31,109,46,93,31,156,31,63,2
62,79,94,94,62,125,94,141,31,94,94,63,78,94,141,0,15,93,78,63,32,93,2
78,125,94,109,78,125,78,78,31,120,62,94,94,46,63,172,0,125,78,94,93,78,2
78,31,31,78,62,94,78,47,109,735,78,63,78,94,141,0,15,93,94,78,32,93,2
