@relation 'keyboard-gender-weka.filters.unsupervised.attribute.Remove-R3,5,6,8,10,14,16,17,18,21,22,23,24,26,27,30,33,34,35,36,37,39,40,42,43'

@attribute dtfk1 numeric
@attribute ft1 numeric
@attribute dtfk2 numeric
@attribute dtfk3 numeric
@attribute dtsk3 numeric
@attribute ft4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtsk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute dtfk9 numeric
@attribute dtfk10 numeric
@attribute ft10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute ft13 numeric
@attribute ft14 numeric
@attribute gender {1,2}

@data
63,343,63,46,47,62,78,78,79,62,16,62,94,62,63,109,78,31,2
63,0,125,47,47,47,63,125,141,110,62,156,32,125,62,125,78,47,2
203,47,63,62,47,62,78,79,110,62,16,922,94,62,63,109,47,31,2
140,31,141,109,94,62,172,172,100,94,46,94,78,47,141,62,93,47,2
125,32,172,94,78,32,78,94,110,16,141,78,47,94,109,31,78,62,2
31,109,250,63,94,62,172,78,125,79,15,828,78,47,141,62,46,47,2
63,78,78,62,62,63,78,78,79,63,78,62,109,62,78,93,31,47,2
78,62,47,62,62,78,63,63,62,78,125,94,62,78,78,94,47,62,2
94,78,47,62,78,63,78,47,63,62,78,62,109,62,78,93,31,47,2
109,47,63,31,78,47,125,125,47,93,16,594,15,78,47,63,47,0,2
47,16,31,78,110,93,32,484,47,609,47,110,31,63,31,62,94,94,2
94,156,32,78,110,47,125,0,62,31,78,0,15,78,47,63,93,0,2
94,32,109,78,62,157,78,78,62,79,78,125,141,62,79,78,15,31,2
94,16,78,78,63,0,94,109,78,125,141,15,94,78,78,110,47,94,2
110,78,93,93,78,157,78,47,94,140,63,0,141,62,79,78,156,31,2
94,109,62,63,63,94,78,78,63,63,62,93,156,63,78,94,78,78,2
94,47,78,78,63,63,62,63,78,62,94,110,63,78,63,109,78,62,2
63,62,78,47,63,94,78,63,47,63,47,110,156,63,78,94,47,78,2
78,47,157,125,156,0,78,78,180,63,16,0,78,94,31,109,94,31,2
94,15,110,125,78,78,47,141,187,62,47,110,94,62,15,125,94,0,2
47,47,16,78,94,0,78,0,172,125,94,984,78,94,31,109,31,31,2
62,79,109,94,78,62,109,109,125,94,141,94,63,78,141,0,78,32,2
78,125,0,94,63,78,31,110,125,78,78,120,94,94,63,172,78,93,2
78,31,97,31,156,62,109,0,94,78,47,735,63,78,141,0,94,32,2
